address,zip,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,LotLot,Price Square FeetPrice/sqft,Rent,Mortgage fees per month,Mortgage fees per year,Walk Score,School Rank,Violent Crime,Property Crime
"620 E Madison Ave, Des Moines, IA 50313",50313,Single Family Residence,1956,Forced Air Gas Natural Gas,Central Air,2,,8712,167,,361,4332,50,154,2142,4091
"5538 Gordon Ave NW, Cedar Rapids, IA 52405",52405,Single Family Residence,1959,Forced Air Gas,Central Air,2,,6098,113,,338,4054,27,105,4091,3336
"758 216th Dr, Ogden, IA 50212",50212,Single Family Residence,2010,Forced Air Gas Natural Gas,Central Air,,,81893,105,,510,6117,14,,,
"1612 B Ave NE, Cedar Rapids, IA 52402",52402,Single Family Residence,1890,Forced Air Gas,Central Air,2,,7405,67,,254,3047,0,37,3336,3336
"5932 Sharon Ln NW, Cedar Rapids, IA 52405",52405,Single Family Residence,1963,Forced Air Gas,Central Air,1,,6534,83,,381,4577,18,105,3336,3336
"1254 Forest Cir, Clive, IA 50325",50325,Single Family Residence,1984,Forced Air Gas Natural Gas,Central Air,2,,9147,154,,457,5482,61,13,3336,699
"220 Broadway St, Webster City, IA 50595",50595,Single Family Residence,1900,Forced Air Gas Natural Gas,Central Air,3,,13068,25,,66,792,58,82,699,1093
"1214 Northwestern Ave, Ames, IA 50010",50010,SINGLE_FAMILY,1945,Gas,Central,1,,4791,137,,425,5097,32,12,1093,1716
"25682 Golden Pond Rd SE, Lone Tree, IA 52755",25682,Single Family Residence,,,,,600,,,,138,1658,0,,,
"3385 Lundy Ln, Bettendorf, IA 52722",52722,Single Family Residence,1986,Natural Gas Forced Air Humidity Control Radiant Zoned,Central Air Whole House Fan,,,11326,156,,903,10838,39,4,1716,1282
"712 Wilder Blvd, Ames, IA 50014",50014,SINGLE_FAMILY,2000,Forced air Other Gas,Central,,,12197,173,,671,8055,0,52,1282,1716
"3701 Brook Ridge Ct UNIT 508, Des Moines, IA 50317",50317,Townhouse,2000,Forced Air Gas Natural Gas,Central Air,2,165,,119,,319,3822,9,148,1716,4091
"1538 W Pleasant St, Davenport, IA 52804",52804,Single Family Residence,1890,Natural Gas,,,,6969,104,,223,2675,76,137,4091,3827
